,,,,US STOCKS,,,BONDS,,CASH,BILLS,INFLATION,,
,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB4WK),,Ibbottson,FRED (CPIAUCSL),
date,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced B+40%F+60%G,30 day Treas Bills,4-Week Bill,Spliced I+J,,,Spliced L+M
9/27/1945,,,3.652,2.589,2.072,2.873,42.226,1.236,,1.236,1.007,,18.061
10/27/1945,,,3.77,2.673,2.075,2.882,42.335,1.237,,1.237,1.007,,18.061
11/27/1945,,,3.919,2.778,2.077,2.892,42.448,1.237,,1.237,1.011,,18.133
12/27/1945,,,3.965,2.811,2.082,2.93,42.858,1.237,,1.237,1.015,,18.204
1/27/1946,,,4.248,3.012,2.09,2.968,43.288,1.238,,1.238,1.015,,18.204
2/27/1946,,,3.976,2.819,2.1,2.978,43.454,1.238,,1.238,1.011,,18.133
3/27/1946,,,4.167,2.954,2.092,2.988,43.5,1.238,,1.238,1.019,,18.276
4/27/1946,,,4.33,3.07,2.088,2.975,43.345,1.239,,1.239,1.024,,18.366
5/27/1946,,,4.455,3.158,2.089,2.981,43.411,1.239,,1.239,1.03,,18.473
6/27/1946,,,4.29,3.041,2.096,2.986,43.507,1.239,,1.239,1.041,,18.671
7/27/1946,,,4.188,2.969,2.094,2.983,43.464,1.24,,1.24,1.102,,19.765
8/27/1946,,,3.906,2.769,2.094,2.956,43.196,1.24,,1.24,1.127,,20.213
9/27/1946,,,3.516,2.493,2.092,2.949,43.113,1.24,,1.24,1.14,,20.446
10/27/1946,,,3.495,2.478,2.098,2.955,43.212,1.241,,1.241,1.162,,20.841
11/27/1946,,,3.486,2.471,2.096,2.947,43.12,1.241,,1.241,1.19,,21.343
12/27/1946,,,3.645,2.584,2.102,2.98,43.487,1.242,,1.242,1.199,,21.504
1/27/1947,,,3.738,2.65,2.107,2.982,43.54,1.242,,1.242,1.199,,21.504
2/27/1947,,,3.709,2.63,2.109,2.983,43.563,1.242,,1.242,1.197,,21.469
3/27/1947,,,3.654,2.591,2.114,3.003,43.795,1.243,,1.243,1.223,,21.935
4/27/1947,,,3.521,2.496,2.111,3.009,43.834,1.243,,1.243,1.223,,21.935
5/27/1947,,,3.526,2.5,2.112,3.015,43.9,1.243,,1.243,1.22,,21.881
6/27/1947,,,3.721,2.638,2.114,3.017,43.933,1.244,,1.244,1.229,,22.042
7/27/1947,,,3.863,2.739,2.115,3.023,44,1.244,,1.244,1.24,,22.24
8/27/1947,,,3.785,2.683,2.121,3.001,43.821,1.244,,1.244,1.253,,22.473
9/27/1947,,,3.743,2.654,2.121,2.962,43.434,1.245,,1.245,1.283,,23.011
10/27/1947,,,3.832,2.717,2.116,2.933,43.113,1.246,,1.246,1.283,,23.011
11/27/1947,,,3.765,2.669,2.117,2.904,42.832,1.247,,1.247,1.291,,23.154
12/27/1947,,,3.853,2.732,2.122,2.911,42.934,1.248,,1.248,1.307,,23.441
1/27/1948,,,3.707,2.628,2.125,2.918,43.024,1.249,,1.249,1.322,,23.71
2/27/1948,,,3.563,2.526,2.129,2.929,43.159,1.25,,1.25,1.311,,23.513
3/27/1948,,,3.846,2.727,2.132,2.963,43.517,1.251,,1.251,1.307,,23.441
4/27/1948,,,3.958,2.806,2.136,2.974,43.652,1.252,,1.252,1.326,,23.782
5/27/1948,,,4.305,3.052,2.148,2.977,43.761,1.253,,1.253,1.335,,23.944
6/27/1948,,,4.329,3.069,2.146,2.952,43.5,1.254,,1.254,1.345,,24.123
7/27/1948,,,4.109,2.913,2.146,2.936,43.341,1.255,,1.255,1.361,,24.41
